Virus_Association,Most_Haploinsufficient_gene,Introgression,node_type,dNdS
3.2,C,HSS.HSS,critical.redundant,0.0036.0.0193
2.4,C,HSS.HSS,intermittent.redundant,0.0.0188
3.4,C,HSS.HSS,redundant.redundant,0.0.0006
4.4,NA,HSS.HSS,redundant.intermittent,0.0.0048
4.3,C,HSS.HSS,intermittent.redundant,0.0009.0.0078
3.3,D,HSS.HSS,redundant.redundant,0.0.0014
1.4,D,HSS.HSS,redundant.redundant,0.0021.0.0514
4.4,C,HSS.HSS,redundant.redundant,0.002.0.0282
1.1,C,HSS.HSS,redundant.redundant,0.0021.0.0068
2.4,D,HSS.HSS,redundant.redundant,0.0.0015
3.3,C,HSS.HSS,redundant.redundant,0.0009.0.0036
4.4,D,HSS.HSS,redundant.redundant,0.0041.0.0251
4.1,C,HSS.HSS,intermittent.redundant,0.001.0.004
4.3,C,HSS.HSS,redundant.redundant,0.0.0107
4.1,D,HSS.HSS,redundant.redundant,0.0014.0.0136
4.4,C,HSS.HSS,intermittent.redundant,0.0.0009
1.1,C,HSS.HSS,redundant.intermittent,0.0267.0.0576
4.4,C,HSS.HSS,redundant.redundant,0.0.0045
4.2,C,HSS.HSS,redundant.redundant,0.0032.0.0046
4.4,C,HSS.HSS,redundant.redundant,0.0006.0.001
1.4,D,HSS.HSS,redundant.redundant,0.0.0256
4.3,C,Intermediate.HSS,redundant.critical,0.0013.0.0014
4.2,D,HSS.Intermediate,redundant.redundant,0.0042.0.0083
4.4,C,HSS.HSS,intermittent.redundant,0.0044.0.028
4.3,C,HSS.HSS,redundant.redundant,0.0011.0.0012
4.4,NA,HSS.HSS,critical.redundant,0.0009.0.005
4.4,C,HSS.HSS,redundant.redundant,0.0017.0.0102
1.2,D,HSS.HSS,redundant.redundant,0.0027.0.0051
4.4,D,HSS.HSS,redundant.redundant,0.0029.0.0761
3.4,C,HSS.HSS,intermittent.intermittent,0.0.0049
