Family_number,Family_Root,Number_of_members,DNA,RNA,Multi,None,Total_VIP,Num_Critical
1809,LECA,2,0,1,0,1,1,1
181,Vertebrata,4,1,0,0,3,1,0
1810,LECA,3,1,0,0,2,1,1
1818,LECA,3,0,1,0,2,1,0
1819,LECA,6,0,2,0,4,2,0
182,LECA,3,0,1,0,2,1,0
1820,LECA,13,1,1,2,9,4,0
1821,LECA,13,2,3,3,5,8,1
1822,Bilateria,9,0,0,1,8,1,1
1824,LECA,3,1,0,0,2,1,0
1828,LECA,2,0,0,0,2,0,0
1829,Euteleostomi,3,0,0,0,3,0,0
183,LECA,2,0,0,0,2,0,0
1830,Chordata,2,1,0,0,1,1,0
1832,Bilateria,3,1,0,0,2,1,0
1835,LECA,3,0,1,0,2,1,0
1839,Chordata,2,0,0,0,2,0,0
184,LECA,6,2,1,1,2,4,0
1841,Vertebrata,3,0,1,0,2,1,0
1842,LECA,11,2,0,1,8,3,0
1847,LECA,4,1,0,0,3,1,0
1848,Vertebrata,2,0,1,0,1,1,0
185,LECA,9,1,1,0,7,2,0
1850,Gnathostomata,9,1,2,1,5,4,0
1856,Bilateria,2,0,0,0,2,0,0
1857,LECA,16,0,6,0,10,6,1
1858,LECA,2,1,0,0,1,1,0
186,LECA,3,0,0,1,2,1,0
1860,Chordata,4,1,1,2,0,4,0
1863,Gnathostomata,2,0,1,0,1,1,0
1864,Euteleostomi,6,3,0,0,3,3,0
187,LECA,4,0,0,2,2,2,1
1876,LECA,2,1,1,0,0,2,0
188,Chordata,2,1,0,0,1,1,0
1880,Gnathostomata,2,0,0,1,1,1,0
1881,Vertebrata,2,1,1,0,0,2,0
1882,LECA,5,0,0,2,3,2,0
1885,LECA,2,0,1,0,1,1,0
1888,LECA,16,0,2,0,14,2,0
1889,LECA,2,0,1,1,0,2,0
189,Opisthokonta,2,0,0,1,1,1,0
1890,Opisthokonta,3,0,0,0,3,0,0
1891,LECA,3,2,0,1,0,3,0
1892,LECA,2,1,0,0,1,1,1
1893,Bilateria,2,1,0,0,1,1,0
1896,LECA,4,0,1,1,2,2,0
19,Bilateria,17,3,1,1,12,5,0
190,Bilateria,2,0,0,1,1,1,0
1900,Bilateria,6,0,1,0,5,1,0
1906,LECA,11,2,2,0,7,4,0
1908,LECA,5,0,0,0,5,0,0
191,Vertebrata,4,0,0,1,3,1,0
1911,LECA,2,1,0,1,0,2,0
1917,LECA,2,1,0,0,1,1,0
1918,Vertebrata,2,0,0,0,2,0,1
192,Chordata,14,2,2,2,8,6,2
1921,Bilateria,3,0,1,1,1,2,1
1923,Chordata,2,0,1,0,1,1,0
1924,LECA,3,1,0,0,2,1,0
1925,LECA,16,2,4,1,9,7,0
1928,LECA,2,0,1,1,0,2,0
193,LECA,23,1,3,2,17,6,1
1932,LECA,6,0,1,0,5,1,0
1933,LECA,18,4,2,1,11,7,0
1935,Bilateria,8,2,0,1,5,3,1
1937,LECA,9,1,2,4,2,7,0
1938,LECA,3,0,0,1,2,1,0
194,LECA,10,0,1,0,9,1,0
1940,LECA,7,0,1,0,6,1,0
1942,Mammalia,3,1,1,1,0,3,0
1943,Bilateria,3,1,0,0,2,1,0
1944,Bilateria,8,0,2,0,6,2,0
1949,LECA,2,0,0,0,2,0,0
195,Bilateria,11,0,2,0,9,2,0
1951,LECA,3,1,0,0,2,1,0
1952,LECA,2,1,0,0,1,1,0
1955,LECA,3,0,0,1,2,1,0
1957,LECA,2,0,1,0,1,1,0
196,LECA,23,4,2,3,14,9,0
1960,Vertebrata,2,0,0,0,2,0,0
